UNO,COST,CMTL,CFUEL,CEQPT,CLABOR,CPROP,MTL,FUEL,EQPT,LABOR,PROP,REVENUE,OUTPUT,PK,K,LOADFCTR,STAGE,POINTS,YEAR,BAD,FIRM,T,LC,LQ,LF,LM,LE,LL,LP,VARCOST,LVC,PM,PF,PE,PL,PP,LPM,LPF,LPL,LPE,LPP,P1,P2,P3,P4,CN,LQ2,TFIRM,LSTAGE,LPF_PP,LPE_PP,LPL_PP,LC_PP 
1,3787753,1158646,1089578,617018.6250000,1302269,138088.8750000,1.7660656,1.2500381,1.5109453,1.3545790,2.8070230,3492705,1.5460377,1.4493742,1.6716185,.6057346,927.0998535,82,1980,0,1,11,15.1472836,.4356953,.2231741,.5687543,.4127355,.3034907,1.0321245,3787750.5000000,15.1472826,656060.5625000,871635.8125000,408365.9375000,961382.8750000,49194.0664063,13.3940086,13.6781273,13.7761278,12.9199190,10.8035278,2.5904808,2.8745995,2.1163912,2.9726000,-11.0294771,.1898304,15,6.8320613,2.8745995,2.1163912,2.9726000,4.3437552 
1,3867753,1178018,1107041,523580.1875000,1344827,144590.2500000,1.6364431,1.1101065,1.4949341,1.2173433,2.2543545,3736209,1.5278988,1.4896297,1.6223898,.6143600,918.6999512,95,1981,0,1,12,15.1681843,.4238935,.1044559,.4925251,.4020821,.1966709,.8128636,3867750.5000000,15.1681833,719864.9375000,997238.5625000,350236.3125000,1104722.8750000,64138.2070313,13.4868193,13.8127451,13.9151049,12.7663631,11.0687952,2.4180241,2.7439499,1.6975679,2.8463097,-11.2947445,.1796857,15,6.8229596,2.7439499,1.6975679,2.8463097,4.0993888 
1,3996021,1286305,1061015,632801.9375000,1395858,181590.2500000,1.7306089,1.1311436,1.5697193,1.1359415,2.2322674,3745433,1.6602011,1.6090441,1.6906872,.6333663,892.3999023,103,1982,0,1,13,15.2008095,.5069387,.1232291,.5484734,.4508968,.1274618,.8030179,3996018.2500000,15.2008085,743267.2500000,938002.0625000,403130.6250000,1228811.5000000,81347.8906250,13.5188112,13.7515078,14.0215578,12.9070158,11.3064899,2.2123213,2.4450178,1.6005259,2.7150679,-11.5324392,.2569868,15,6.7939144,2.4450178,1.6005259,2.7150679,3.8943195 
1,4282879,1487690,1025627.1250000,755717.6875000,1449049,168026.4375000,1.9670286,1.1931829,1.6002131,1.2151880,2.1866875,4214225,1.8223095,1.6987953,1.6910915,.6501170,861.6999512,120,1983,0,1,14,15.2701359,.6001046,.1766245,.6765241,.4701368,.1948988,.7823879,4282876,15.2701349,756313.3750000,859572.3750000,472260.6562500,1192448.3750000,76840.6250000,13.5362110,13.6641903,13.9915190,13.0652866,11.2494888,2.2867222,2.4147015,1.8157978,2.7420301,-11.4754381,.3601256,15,6.7589071,2.4147015,1.8157978,2.7420301,4.0206473 
1,4748317,1723710,1073372,860101.5625000,1582220,186481,2.2089911,1.3035679,1.5931997,1.2637138,2.1644459,4684830,1.9364634,1.8154917,1.6803789,.6256033,840.1999512,128,1984,0,1,15,15.3733006,.6608633,.2651050,.7925359,.4657444,.2340549,.7721644,4748314,15.3733006,780315.5000000,823410.8750000,539857.9375000,1252039.7500000,86156.4609375,13.5674534,13.6212111,14.0402842,13.1990614,11.3639202,2.2035332,2.2572908,1.8351412,2.6763639,-11.5898695,.4367403,15,6.7336399,2.2572908,1.8351412,2.6763639,4.0093806 
1,314452,111569.5625000,42875,65332.1640625,115277.7500000,6057.3789063,.3931085,.3998564,.3273136,.3343873,.2197004,320597,.2525293,.6614628,.3131186,.5173525,482,53,1970,0,2,1,12.6585865,-1.3762281,-.9166497,-.9336695,-1.1168365,-1.0954554,-1.5154905,314451.7812500,12.6585855,283813.6250000,107225.9843750,199601.1250000,344743.2187500,27571.0878906,12.5560732,11.5826941,12.7505550,12.2040758,10.2245226,2.3315506,1.3581715,1.9795532,2.5260324,-10.4504719,1.8940037,13,6.1779441,1.3581715,1.9795532,2.5260324,2.4340638 
1,310048,113339.1171875,39624,53904.6054688,114223.5625000,6522.4257813,.3811831,.3534245,.2898016,.3209408,.2439325,329563,.2432745,.6625397,.2839031,.5117666,475,55,1971,0,2,2,12.6444826,-1.4135650,-1.0400854,-.9644755,-1.2385588,-1.1364986,-1.4108638,310047.8125000,12.6444817,297335.1250000,112114.4687500,186005.2031250,355902.2812500,26738.6523438,12.6026154,11.6272755,12.7824116,12.1335297,10.1938658,2.4087496,1.4334097,1.9396639,2.5885458,-10.4198151,1.9981661,13,6.1633148,1.4334097,1.9396639,2.5885458,2.4506170 
1,342533,122911.0625000,40961.4101563,53486.8203125,133170.6250000,6767.4921875,.3986925,.3769864,.2836859,.3336174,.2227052,369011,.2508492,.6836172,.2758008,.5144955,488.8000488,65,1972,0,2,3,12.7441235,-1.3829031,-.9755461,-.9195647,-1.2598878,-1.0977604,-1.5019062,342532.8125000,12.7441225,308285.3125000,108654.8593750,188542.4218750,399171.7187500,30387.6640625,12.6387806,11.5959320,12.8971472,12.1470785,10.3217916,2.3169889,1.2741404,1.8252869,2.5753555,-10.5477409,1.9124210,13,6.1919535,1.2741404,1.8252869,2.5753555,2.4223313 
1,386731,136143.9375000,45014.6562500,52409.9804688,155166.5000000,7338.9804688,.4090252,.3905523,.2968192,.3522196,.2555754,426293,.2961559,.7040991,.2918065,.5135387,504.8000488,64,1973,0,2,4,12.8654842,-1.2168694,-.9401934,-.8939785,-1.2146320,-1.0435003,-1.3642380,386730.7812500,12.8654842,332849.7500000,115258.9765625,176572.0625000,440539.0312500,28715.5253906,12.7154465,11.6549368,12.9957542,12.0814848,10.2651930,2.4502535,1.3897438,1.8162918,2.7305613,-10.4911423,1.4807711,13,6.2241624,1.3897438,1.8162918,2.7305613,2.6002914 
1,493867,187580.6875000,78373.1875000,60246.7617188,175195.3125000,6493.9726563,.4734983,.3999361,.3240257,.3730071,.2840846,530450,.3255795,.8003248,.3186046,.5096101,516,62,1974,0,2,5,13.1100216,-1.1221485,-.9164504,-.7476069,-1.1269325,-.9861578,-1.2584832,493866.7500000,13.1100206,396159.1250000,195964.2500000,185932.0468750,469683.5625000,22859.2890625,12.8895712,12.1856871,13.0598145,12.1331367,10.0371132,2.8524580,2.1485739,2.0960236,3.0227013,-10.2630625,1.2592173,13,6.2461068,2.1485739,2.0960236,3.0227013,3.0729087 
1,549439,211206.6250000,92881.8750000,67338.6875000,190396.1250000,7625.2773438,.4846117,.4124817,.3346629,.3731815,.2847681,575925,.3352684,.8782687,.3281186,.5011064,528.1000977,57,1975,0,2,6,13.2166529,-1.0928237,-.8855635,-.7244072,-1.0946317,-.9856903,-1.2560802,549438.6875000,13.2166529,435826.4687500,225178.1875000,201213.5156250,510197.0937500,26777.1464844,12.9849997,12.3246469,13.1425524,12.2121220,10.1953039,2.7896957,2.1293430,2.0168180,2.9472485,-10.4212532,1.1942637,13,6.2692858,2.1293430,2.0168180,2.9472485,3.0213490 
1,622982,219138.3750000,133489.3750000,80839.5000000,212390,10656.1015625,.4730946,.4179962,.3534407,.3672876,.2888899,653047,.3660043,.9574597,.3452468,.5165271,542,56,1976,0,2,7,13.3422728,-1.0051100,-.8722829,-.7484598,-1.0400395,-1.0016102,-1.2417095,622981.6875000,13.3422728,463201.9687500,319355.4687500,228721.5312500,578266.2500000,36886.3710938,13.0459185,12.6740599,13.2677898,12.3402605,10.5155973,2.5303211,2.1584625,1.8246632,2.7521925,-10.7415466,1.0102462,13,6.2952660,2.1584625,1.8246632,2.7521925,2.8266755 
1,719147,248305.0625000,163433.2500000,92971.6875000,242330.8750000,10217.2421875,.5062343,.4503914,.3704432,.3836285,.3047929,762247,.3963062,1.0188255,.3618424,.5158228,554.3999023,58,1977,0,2,8,13.4858208,-.9255681,-.7976383,-.6807557,-.9930551,-.9580805,-1.1881229,719146.6250000,13.4858208,490494.3437500,362869.3750000,250974.1875000,631681,33521.9179688,13.1031694,12.8017979,13.3561401,12.4331055,10.4199543,2.6832151,2.3818436,2.0131512,2.9361858,-10.6459036,.8566763,13,6.3178863,2.3818436,2.0131512,2.9361858,3.0658663 
1,889894,321433.5000000,206410.0625000,115665.2500000,288700,10689.0390625,.6135463,.5299931,.4011505,.4280341,.3343490,940522,.4992012,1.1073656,.3920807,.5455410,583.1000977,74,1978,0,2,9,13.6988573,-.6947461,-.6348914,-.4884996,-.9134187,-.8485525,-1.0955698,889893.5625000,13.6988573,523894.5000000,389458.0625000,288333.8437500,674479,31969.7011719,13.1690454,12.8725119,13.4216957,12.5718746,10.3725443,2.7965012,2.4999676,2.1993303,3.0491514,-10.5984936,.4826721,13,6.3683589,2.4999676,2.1993303,3.0491514,3.3263137 
1,1376838,481563.8750000,400390.5625000,133074.6875000,388443,17607.9765625,.8237082,.6606084,.4590374,.5134241,.4667388,1308503,.6976399,1.2036333,.4598249,.5659063,647,87,1979,0,2,10,14.1352997,-.3600521,-.4145940,-.1939389,-.7786235,-.6666531,-.7619854,1376837.5000000,14.1352997,584629.1875000,606093.6250000,289899.4375000,756573.3750000,37725.5468750,13.2787333,13.3147898,13.5365543,12.5772896,10.5380926,2.7406406,2.7766972,2.0391970,2.9984617,-10.7640419,.1296375,13,6.4723463,2.7766972,2.0391970,2.9984617,3.5972073 
1,1564779,526265.6250000,473801.1875000,260326.2500000,430181,24686.8164063,.8053325,.5288466,.5678747,.4900004,.5018253,1411363,.6261122,1.5006189,.5583543,.5853542,667.2998047,87,1980,0,2,11,14.2632551,-.4682257,-.6370568,-.2165000,-.5658544,-.7133492,-.6895033,1564778.1250000,14.2632542,653476.1875000,895914.1875000,458421.9687500,877919.7500000,49194.0468750,13.3900614,13.7055998,13.6853104,13.0355453,10.8035278,2.5865335,2.9020720,2.2320175,2.8817825,-11.0294771,.2192353,13,6.5032394,2.9020720,2.2320175,2.8817825,3.4597273 
1,1291990,404391.3750000,406021.6250000,132121.6250000,358586.5000000,41924.9375000,.5641931,.3985418,.3836809,.3641202,.6536657,1152453,.4568032,1.4816360,.4291412,.5699178,636.5000000,72,1981,0,2,12,14.0716944,-.7835026,-.9199429,-.5723588,-.9579440,-1.0102713,-.4251592,1291989.3750000,14.0716934,716760.6250000,1018767.9375000,344352.8437500,984802.5625000,64138.1914063,13.4824972,13.8341045,13.8001966,12.7494221,11.0687952,2.4137020,2.7653093,1.6806269,2.7314014,-11.2947445,.6138764,13,6.4559844,2.7653093,1.6806269,2.7314014,3.0028989 
1,427581,134086.3125000,138256,57801.0937500,121187,20056.8867188,.1809198,.1372259,.1467142,.1521584,.5917368,347291,.1604382,1.5969620,.1938830,.5376353,651.6999512,55,1982,0,2,13,12.9658995,-1.8298466,-1.9861270,-1.7097013,-1.9192691,-1.8828334,-.5246934,427580.6875000,12.9658985,741136.6250000,1007506.8750000,393970.8125000,796453,33894.9453125,13.5159407,13.8229895,13.5879230,12.8840322,10.4310207,3.0849199,3.3919687,2.4530115,3.1569023,-10.6569700,3.3483386,13,6.4795843,3.3919687,2.4530115,3.1569023,2.5348778 
1,269162,97364.8125000,38394,52752.8984375,98311.8125000,10275.1015625,.3430587,.3377475,.3012428,.2777992,.3726770,290377,.2533200,.6340515,.3122336,.5741622,559.1999512,40,1970,0,3,1,12.5030689,-1.3731018,-1.0854566,-1.0698537,-1.1998386,-1.2808567,-.9870431,269161.8125000,12.5030680,283813.8437500,113676.6328125,175117.5312500,353895.2500000,27571.0625000,12.5560741,11.6411133,12.7767563,12.0732126,10.2245216,2.3315525,1.4165916,1.8486910,2.5522346,-10.4504709,1.8854086,12,6.3265071,1.4165916,1.8486910,2.5522346,2.2785467 
1,301185,109319.3125000,42979,55846.8125000,110667,12528,.3676634,.3499475,.3239207,.2892145,.4685352,329156,.2703429,.6486400,.3453549,.5338889,543.0998535,51,1971,0,3,2,12.6154804,-1.3080642,-1.0499721,-1.0005873,-1.1272565,-1.2405866,-.7581441,301184.7812500,12.6154795,297335.2812500,122815.5625000,172408.8906250,382646.8125000,26738.6542969,12.6026154,11.7184391,12.8548679,12.0576239,10.1938658,2.4087496,1.5245733,1.8637581,2.6610022,-10.4198151,1.7110320,12,6.2972932,1.5245733,1.8637581,2.6610022,2.4216144 
1,331665,113310.9375000,43929.9218750,55116.3320313,131701,9763.3945313,.3675520,.3713765,.3180647,.3025361,.3212949,363703,.2615350,.6682687,.3199610,.5331761,540.1999512,55,1972,0,3,3,12.7118807,-1.3411870,-.9905389,-1.0008905,-1.1455005,-1.1955546,-1.1353959,331664.7812500,12.7118797,308285.4687500,118289.4453125,173286.5468750,435323.2187500,30387.6425781,12.6387815,11.6808901,12.9838438,12.0627022,10.3217916,2.3169899,1.3590984,1.7409105,2.6620522,-10.5477409,1.7987826,12,6.2919394,1.3590984,1.7409105,2.6620522,2.3900894 
1,372118,123452.1171875,46170.2226563,51874.5234375,148848.1875000,13137.3242188,.3708943,.3600546,.3287086,.3147039,.4574991,387375,.3196966,.6824318,.3504940,.4881147,545.1999512,53,1973,0,3,4,12.8269663,-1.1403829,-1.0214995,-.9918383,-1.1125836,-1.1561229,-.7819803,372117.7500000,12.8269653,332849.9062500,128231.1640625,157813.1093750,472978.4687500,28715.5156250,12.7154465,11.7615900,13.0668049,11.9691668,10.2651930,2.4502535,1.4963970,1.7039738,2.8016119,-10.4911423,1.3004731,12,6.3011526,1.4963970,1.7039738,2.8016119,2.5617734 
1,418286,144266.6875000,67369.8750000,60092.0664063,153086.6875000,10542.2460938,.3641634,.3073214,.3552457,.3186133,.4611802,446286,.3211575,.7736007,.3692746,.5390331,545.8000488,54,1974,0,3,5,12.9439211,-1.1358236,-1.1798611,-1.0101526,-1.0349456,-1.1437771,-.7739666,418285.7187500,12.9439201,396159.2187500,219216.3281250,169156.3437500,480478.0312500,22859.2792969,12.8895712,12.2978144,13.0825367,12.0385790,10.0371122,2.8524590,2.2607021,2.0014668,3.0454245,-10.2630615,1.2900952,12,6.3022527,2.2607021,2.0014668,3.0454245,2.9068083 
1,495885,173025,93662.1875000,67997.0625000,175785.6250000,11811.7148438,.3970047,.3338410,.3606858,.3299646,.4411113,507409,.3653092,.8577872,.3718867,.5407070,561.8000488,42,1975,0,3,6,13.1140995,-1.0070112,-1.0970904,-.9238073,-1.0197480,-1.1087700,-.8184581,495884.6875000,13.1140985,435826.1250000,280559.2500000,188521.5781250,532740.8750000,26777.1777344,12.9849987,12.5445404,13.1857901,12.1469679,10.1953049,2.7896938,2.3492355,1.9516630,2.9904852,-10.4212542,1.0140715,12,6.3311460,2.3492355,1.9516630,2.9904852,2.9187941 
1,510819,170399.8750000,95649.7500000,78439.5000000,193357.3750000,15276.1835938,.3678735,.3066428,.3586695,.3219002,.4141418,518731,.3577649,.9433696,.3682237,.5627409,563.8000488,43,1976,0,3,7,13.1437702,-1.0278792,-1.1820717,-1.0000160,-1.0253540,-1.1335138,-.8815469,510818.6562500,13.1437702,463202.3125000,311925.5937500,218695.7812500,600674.9375000,36886.3632813,13.0459194,12.6505203,13.3058090,12.2954369,10.5155973,2.5303221,2.1349230,1.7798395,2.7902117,-10.7415466,1.0565357,12,6.3346997,2.1349230,1.7798395,2.7902117,2.6281734 
1,609658,197673.8750000,124144.9375000,85789.5625000,235563.5625000,14159.3398438,.4030094,.3525404,.3554564,.3709731,.4223905,641115,.4148378,1.0052128,.3645884,.5589044,580.8000488,47,1977,0,3,8,13.3206530,-.8798676,-1.0425899,-.9087954,-1.0343528,-.9916258,-.8618250,609657.6250000,13.3206530,490494.4375000,352143.8125000,241350.4843750,634988.3125000,33521.9179688,13.1031694,12.7717953,13.3613615,12.3940058,10.4199543,2.6832151,2.3518410,1.9740515,2.9414072,-10.6459036,.7741670,12,6.3644065,2.3518410,1.9740515,2.9414072,2.9006987 
1,729277,235924.6250000,147258.8750000,97608.1250000,292167,13704.4257813,.4503286,.3874254,.3570755,.4093119,.4286693,755903,.4913957,1.0884190,.3651353,.5969881,618.5000000,50,1978,0,3,9,13.4998093,-.7105055,-.9482321,-.7977777,-1.0298080,-.8932778,-.8470694,729276.6250000,13.4998083,523894.3437500,380096.1250000,273354.2812500,713800.4375000,31969.6894531,13.1690454,12.8481798,13.4783583,12.5185242,10.3725433,2.7965021,2.4756365,2.1459808,3.1058149,-10.5984926,.5048181,12,6.4272972,2.4756365,2.1459808,3.1058149,3.1272654 
1,942858,290113.1250000,230279.6875000,111568.5625000,361004,17031.1289063,.4962341,.4197650,.3842971,.4000155,.4514478,902842,.5338073,1.2002048,.3927813,.6062740,688,62,1979,0,3,10,13.7566710,-.6277204,-.8680602,-.7007076,-.9563394,-.9162519,-.7952954,942857.5000000,13.7566700,584629.6250000,548591.9375000,290318.5312500,902474.9375000,37725.5742188,13.2787342,13.2151098,13.7128963,12.5787344,10.5380936,2.7406406,2.6770163,2.0406408,3.1748028,-10.7640429,.3940329,12,6.5337888,2.6770163,2.0406408,3.1748028,3.2185775 
1,1050253,318328.1250000,298781.1875000,187833.7500000,367038,22469.3007813,.4871306,.3517368,.4353653,.4050931,.4567484,965416,.4439458,1.4775696,.4369569,.5818172,707.0998535,58,1980,0,3,11,13.8645420,-.8120527,-1.0448722,-.7192230,-.8315698,-.9036384,-.7836225,1050252.3750000,13.8645411,653475.8750000,849445.3750000,431439.4062500,906058.4375000,49194.0390625,13.3900604,13.6523390,13.7168589,12.9748821,10.8035278,2.5865326,2.8488111,2.1713543,2.9133310,-11.0294771,.6594296,12,6.5611719,2.8488111,2.1713543,2.9133310,3.0610139 
1,1134833,317598.9375000,336103.4375000,137341.8125000,406446.1875000,30831.9335938,.4431029,.3283994,.3879446,.3795466,.4807109,1059570,.4317940,1.4890137,.4042380,.5764001,734,72,1981,0,3,12,13.9419956,-.8398066,-1.1135247,-.8139533,-.9468928,-.9687778,-.7324892,1134832.3750000,13.9419956,716761.1250000,1023459.3125000,354024.3125000,1070872.8750000,64138.1992188,13.4824982,13.8386993,13.8839846,12.7771206,11.0687952,2.4137030,2.7699041,1.7083254,2.8151894,-11.2947445,.7052751,12,6.5985090,2.7699041,1.7083254,2.8151894,2.8732007 
1,569292,177997.5000000,76356,111881.6171875,241266.5625000,18551.2968750,.6271630,.7356456,.6006128,.6983916,.6728536,645293,.5206349,.6486286,.6114945,.4908509,420.1999512,67,1970,0,4,1,13.2521486,-.6527063,-.3070068,-.4665488,-.5098048,-.3589754,-.3962275,569291.6250000,13.2521477,283813.7812500,103794.5468750,186279.1093750,345460.3125000,27571.0742188,12.5560732,11.5501690,12.7526331,12.1350012,10.2245226,2.3315506,1.3256464,1.9104786,2.5281105,-10.4504719,.4260255,15,6.0407307,1.3256464,1.9104786,2.5281105,3.0276263 
1,640614,202653.3750000,84072,113596.6171875,269283.3125000,19299.0273438,.6815658,.7541674,.6216632,.7138177,.7217653,700085,.5346270,.6610691,.6362392,.4734492,412.2998047,73,1971,0,4,2,13.3701820,-.6261861,-.2821409,-.3833624,-.4753569,-.3371277,-.3260552,640613.5625000,13.3701820,297335,111476.5703125,182730.1718750,377243.8125000,26738.6445313,12.6026144,11.6215696,12.8406467,12.1157656,10.1938648,2.4087496,1.4277048,1.9219007,2.6467819,-10.4198141,.3921090,15,6.0217508,1.4277048,1.9219007,2.6467819,3.1763172 
1,777655,247607.5000000,96514,128769.6875000,336251.1250000,21240.0898438,.8031756,.8133357,.7121311,.8640767,.6989713,874116,.6551924,.6774184,.7128130,.5030134,417.5000000,93,1972,0,4,3,13.5640383,-.4228264,-.2066114,-.2191819,-.3394933,-.1460938,-.3581456,777654.5000000,13.5640373,308285.6250000,118664.4140625,180823.0156250,389145,30387.6406250,12.6387815,11.6840544,12.8717070,12.1052742,10.3217916,2.3169899,1.3622627,1.7834826,2.5499153,-10.5477409,.1787822,15,6.0342845,1.3622627,1.7834826,2.5499153,3.2422470 
1,999294,323448.6875000,117033,139954.5000000,438673.4375000,25933.3632813,.9717553,1.0194750,.8315533,.9614919,.9031131,1116832,.7915748,.6946377,.8454615,.5125011,429.3999023,95,1973,0,4,4,13.8148041,-.2337309,.0192878,-.0286513,-.1844598,-.0392691,-.1019075,999293.4375000,13.8148041,332849.9375000,114797.3203125,168304.8906250,456242.4375000,28715.5214844,12.7154474,11.6509237,13.0307798,12.0335321,10.2651930,2.4502544,1.3857307,1.7683392,2.7655869,-10.4911423,.0546301,15,6.0623887,1.3857307,1.7683392,2.7655869,3.5496112 
1,1203965,373418.1875000,191732.6875000,164294.0625000,494106.8750000,22961.3593750,.9425964,.8904466,.9147283,.9627253,1.0044641,1347504,.8429447,.7874332,.9254704,.5667818,428.3000488,90,1974,0,4,5,14.0011311,-.1708539,-.1160321,-.0591171,-.0891282,-.0379872,.0044542,1203964.2500000,14.0011301,396159.1562500,215321.9375000,179609.6718750,513237.6562500,22859.3125000,12.8895712,12.2798891,13.1484947,12.0985413,10.0371141,2.8524570,2.2427750,2.0614271,3.1113806,-10.2630634,.0291910,15,6.0598240,2.2427750,2.0614271,3.1113806,3.9640170 
1,1358096,402227.3750000,256733.1250000,192064.8750000,542812.4375000,27831.4882813,.9229081,.9113563,.9687788,.9644748,1.0393734,1407279,.8528915,.8677898,.9781558,.5581328,431.1999512,79,1975,0,4,6,14.1215944,-.1591229,-.0928214,-.0802257,-.0317190,-.0361716,.0386180,1358095.1250000,14.1215935,435826.0625000,281704.4687500,198254.6250000,562806.2500000,26777.1796875,12.9849987,12.5486135,13.2406912,12.1973076,10.1953049,2.7896938,2.3533087,2.0020027,3.0453863,-10.4212542,.0253201,15,6.0665719,2.3533087,2.0020027,3.0453863,3.9262890 
